"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EIF2S2",-4.64650146109692,6.97669716894104,-3.45759618766593,0.00231314245703126,0.0193063398368978,-1.9381068078432
"COX7A2",2.58996713383661,8.40751908162023,3.17671630151768,0.00447612681875778,0.0288247132207936,-1.93933781993884
"ACTN4",2.74853812944799,8.43748000437381,3.36320900278648,0.00289111961312418,0.0221221182545355,-1.94327679529718
"NUTF2",2.61769078132682,8.34298916811359,3.1868598612701,0.00437155969442349,0.0285201318055401,-1.94354076865935
"BDH1",2.95487666356322,7.44615198562773,3.38163137441219,0.00276820298115365,0.0215400794471019,-1.9644411593047
"NDUFB9",2.84915648062312,7.88013248638098,3.27205883479158,0.00358202909164579,0.0248909370368317,-1.9665859416678
"TSN",-4.64616784890832,6.98020072848515,-3.43004773597129,0.00246900497603113,0.0199388834280568,-1.97226753572191
"COQ5",2.59356128801737,8.23408826811947,3.15639957650117,0.00469290685020416,0.0298349056774681,-1.97614706969419
"RPL9",3.29094443660073,7.44671424428273,3.36826621773465,0.00285685614701725,0.0220007375445555,-1.97654952962682
"DDOST",2.78548720451016,7.86889322972447,3.25415637112732,0.00373548280476025,0.0252767377089786,-1.98724338658453
"GLOD4",2.5720810620617,8.39487891390126,3.14638965611278,0.00480341932828822,0.030164696184239,-2.00498822331013
"CENPV",2.74412104061102,7.68705439738965,3.34368775796705,0.00302718282605255,0.022288623180572,-2.00873517617637
"S100A14",2.67787584573284,7.71845894867952,3.33030817252117,0.00312402719109696,0.0227673006024334,-2.01443423466221
"TRIM54",2.69449915280738,7.96792884577935,3.26517882320381,0.00364026242992074,0.0251784818069518,-2.0214978552957
"ACSL3",2.82945100263787,7.5724935901976,3.31463173868746,0.00324134459671234,0.0235076156674186,-2.03147210438671
"XPO1",2.83366124488899,7.68557369389716,3.27768182807011,0.00353510948811554,0.0247955566912893,-2.03380302300106
"H2AC4",2.56600813568349,8.37670640902041,3.12795543813108,0.00501356653241382,0.0309123728047877,-2.03745566594289
